Class,Image,Image mean intensity,No of Dots,Average intensity of bright region,Average intensity of dark region
DI,D0000.tif,17.61639031,12,95.63194444,5.152366864
DI,D0000a.tif,15.71843112,4,86.43939394,3.499626028
DI,D0001.tif,18.54049745,13,101.2050691,5.26276832
DI,D0001a.tif,15.45535714,4,84.82532751,3.591486184
DI,D0002.tif,18.13456633,18,93.08932462,5.28277923
DI,D0002a.tif,20.54719388,4,91.13059034,5.236321304
DI,D0003.tif,18.36479592,17,93.62582057,5.526315789
DI,D0003a.tif,23.18718112,4,103.2885662,6.113346228
DI,D0004.tif,17.76434949,20,83.99390244,5.440242057
DI,D0004a.tif,22.06983418,7,98.58097166,7.763815291
DI,D0005.tif,18.01881378,19,86.01626016,5.365733737
DI,D0005a.tif,21.61607143,7,96.89112903,7.473484848
DI,D0006.tif,22.8466199,19,104.2611336,7.623769871
DI,D0006a.tif,21.77742347,11,96.97639485,8.652808989
DI,D0007.tif,19.27806122,20,87.96558704,6.434897805
DI,D0007a.tif,20.88329082,10,96.14253394,8.535634744
DI,WIN_20230325_15_03_33_Pro.jpg,5.901785714,5,157.0769231,3.998062641
DI,WIN_20230325_15_03_34_Pro.jpg,5.883928571,6,152.6097561,3.940226171
DI,WIN_20230325_15_04_09_Pro.jpg,6.834183673,14,55.1993865,1.223131673
DI,WIN_20230325_15_04_11_Pro.jpg,6.889668367,14,55.28658537,1.236467236
DI,WIN_20230325_15_04_47_Pro.jpg,4.934630102,7,140.6388889,3.358709677
DI,WIN_20230325_15_04_49_Pro.jpg,4.997130102,7,139.2058824,3.526112186
DI,WIN_20230325_15_05_32_Pro.jpg,6.154655612,11,121.8387097,3.821405335
DI,WIN_20230325_15_05_33_Pro.jpg,6.115114796,11,120.8870968,3.800260247
DI,WIN_20230325_15_06_01_Pro.jpg,6.848852041,9,48.69587629,0.940320233
DI,WIN_20230325_15_06_02_Pro.jpg,6.885522959,9,49.25,0.974200581
DI,WIN_20230325_15_06_42_Pro.jpg,8.074936224,12,67.38787879,1.099429793
DI,WIN_20230325_15_06_43_Pro.jpg,8.022002551,12,67.09756098,1.121438746
DI,WIN_20230325_15_07_11_Pro.jpg,7.444515306,17,60.92401216,1.176344852
DI,WIN_20230325_15_07_12_Pro.jpg,7.462053571,17,61.19018405,1.228825623
DI,WIN_20230325_15_07_42_Pro.jpg,6.463647959,16,49.3782235,1.089702189
DI,WIN_20230325_15_07_43_Pro.jpg,6.50127551,17,49.41714286,1.109834889
DI,WIN_20230325_15_08_08_Pro.jpg,10.50701531,13,68.91484185,1.697614679
DI,WIN_20230325_15_08_09_Pro.jpg,10.66485969,12,69.2746988,1.72583609
DI,WIN_20230325_15_08_39_Pro.jpg,6.703443878,8,55.05864198,1.131934566
DI,WIN_20230325_15_08_41_Pro.jpg,6.77997449,8,55.58769231,1.136961935
DI,WIN_20230325_15_18_05_Pro.jpg,6.323341837,15,47.90250696,0.948145481
DI,WIN_20230325_15_18_07_Pro.jpg,6.345982143,16,48.20391061,0.951763859
DI,WIN_20230325_15_18_30_Pro.jpg,10.40274235,14,86.37699681,1.979100248
DI,WIN_20230325_15_18_31_Pro.jpg,10.27359694,14,85.7605178,2.02263884
DI,WIN_20230325_15_18_57_Pro.jpg,13.88424745,6,112.230303,2.318246614
DI,WIN_20230325_15_18_59_Pro.jpg,14.13871173,5,114.0212121,2.392017106
DI,WIN_20230325_15_19_33_Pro.jpg,7.363201531,9,54.64109589,1.135691086
DI,WIN_20230325_15_19_34_Pro.jpg,7.380102041,9,55.04432133,1.179459459
DI,WIN_20230325_15_20_15_Pro.jpg,8.205994898,10,55.25879397,1.366325785
DI,WIN_20230325_15_20_16_Pro.jpg,8.12372449,10,54.58706468,1.291880029
DI,WIN_20230325_15_20_46_Pro.jpg,13.05293367,10,99.56285714,2.184852836
DI,WIN_20230325_15_20_47_Pro.jpg,13.04815051,10,99.46306818,2.122126437
DI,WIN_20230325_15_21_26_Pro.jpg,8.344068878,9,68.75157233,1.527324344
DI,WIN_20230325_15_21_27_Pro.jpg,8.138392857,10,67.00626959,1.472133475
DI,WIN_20230325_15_21_55_Pro.jpg,11.86607143,10,89.4351585,2.215130871
DI,WIN_20230325_15_21_56_Pro.jpg,11.98118622,10,90.85131195,2.29538131
DI,WIN_20230325_15_22_29_Pro.jpg,10.44260204,13,71.0546875,1.985101744
DI,WIN_20230325_15_22_30_Pro.jpg,10.57557398,13,72.30971129,2.038112523
DI,WIN_20230325_15_23_05_Pro.jpg,10.40178571,10,79.40751445,1.844086022
DI,WIN_20230325_15_23_06_Pro.jpg,10.36702806,10,79.09248555,1.844086022
DI,WIN_20230325_15_33_18_Pro.jpg,9.361607143,13,71.52890173,1.651971326
DI,WIN_20230325_15_33_19_Pro.jpg,9.456951531,13,72.09221902,1.664037289
DI,WIN_20230325_15_33_39_Pro.jpg,11.93654337,10,101.3973941,2.22834924
DI,WIN_20230325_15_33_40_Pro.jpg,12.31664541,10,104.6938111,2.291975963
DI,WIN_20230325_15_34_06_Pro.jpg,12.94802296,5,108.2115385,2.42315864
DI,WIN_20230325_15_34_07_Pro.jpg,12.92315051,5,107.5492063,2.356965615
DI,WIN_20230325_15_34_32_Pro.jpg,6.324936224,6,49.86604361,1.359857904
DI,WIN_20230325_15_34_33_Pro.jpg,6.415178571,7,50.11384615,1.362860192
DI,WIN_20230325_15_34_54_Pro.jpg,8.18622449,10,55.21483376,1.487431694
DI,WIN_20230325_15_34_55_Pro.jpg,8.165178571,10,55.27435897,1.474508376
DI,WIN_20230325_15_35_22_Pro.jpg,9.529655612,9,79.7968254,1.683445587
DI,WIN_20230325_15_35_23_Pro.jpg,9.543048469,8,79.45283019,1.654009936
DI,WIN_20230325_15_35_52_Pro.jpg,11.63679847,7,104.2841727,2.624912526
DI,WIN_20230325_15_35_53_Pro.jpg,11.70918367,10,103.2526316,2.558049807
DI,WIN_20230325_15_36_17_Pro.jpg,11.18909439,10,87.40540541,2.134498751
DI,WIN_20230325_15_36_18_Pro.jpg,11.58832908,8,90.33033033,2.233678202
DI,WIN_20230325_15_36_45_Pro.jpg,10.72608418,9,76.97214485,2.162045373
DI,WIN_20230325_15_36_46_Pro.jpg,10.85969388,9,78.43820225,2.205755396
DI,WIN_20230325_15_37_09_Pro.jpg,13.35044643,8,107.1021672,2.585495912
DI,WIN_20230325_15_37_10_Pro.jpg,13.35331633,8,107.6490683,2.563255153
DI,WIN_20230325_15_48_03_Pro.jpg,9.586096939,11,71.38571429,1.822325915
DI,WIN_20230325_15_48_04_Pro.jpg,9.642219388,10,72.3583815,1.864516129
DI,WIN_20230325_15_48_20_Pro.jpg,12.10778061,8,106.8945578,2.302251935
